3.79E+13	3.99E+14
3.81E+13	4.08E+14
3.82E+13	4.16E+14
3.84E+13	4.25E+14
3.86E+13	4.34E+14
3.88E+13	4.77E+14
3.90E+13	5.89E+14
3.92E+13	7.28E+14
3.94E+13	8.96E+14
3.96E+13	1.09E+15
3.97E+13	1.31E+15
3.99E+13	1.58E+15
4.01E+13	1.91E+15
4.03E+13	2.24E+15
4.05E+13	2.51E+15
4.07E+13	2.73E+15
4.09E+13	2.90E+15
4.11E+13	3.01E+15
4.13E+13	3.10E+15
4.14E+13	3.18E+15
4.16E+13	3.26E+15
4.18E+13	3.34E+15
4.20E+13	3.42E+15
4.22E+13	3.49E+15
4.24E+13	3.50E+15
4.26E+13	3.51E+15
4.28E+13	3.52E+15
4.29E+13	3.55E+15
4.31E+13	3.59E+15
4.33E+13	3.64E+15
4.35E+13	3.70E+15
4.37E+13	3.76E+15
4.39E+13	3.84E+15
4.41E+13	3.92E+15
4.43E+13	4.00E+15
4.45E+13	4.08E+15
4.46E+13	4.15E+15
4.48E+13	4.22E+15
4.50E+13	4.29E+15
4.52E+13	4.35E+15
4.54E+13	4.50E+15
4.56E+13	4.71E+15
4.58E+13	4.81E+15
4.60E+13	4.79E+15
4.62E+13	4.67E+15
4.63E+13	4.57E+15
4.65E+13	4.49E+15
4.67E+13	4.40E+15
4.69E+13	4.33E+15
4.71E+13	4.28E+15
4.73E+13	4.22E+15
4.75E+13	4.17E+15
4.77E+13	4.12E+15
4.78E+13	4.06E+15
4.80E+13	4.01E+15
4.82E+13	3.96E+15
4.84E+13	3.91E+15
4.86E+13	3.87E+15
4.88E+13	3.82E+15
4.90E+13	3.77E+15
4.92E+13	4.11E+15
4.94E+13	4.31E+15
4.95E+13	4.13E+15
4.97E+13	3.60E+15
4.99E+13	3.20E+15
5.01E+13	2.92E+15
5.03E+13	2.68E+15
5.05E+13	2.49E+15
5.07E+13	2.33E+15
5.09E+13	2.23E+15
5.10E+13	2.15E+15
5.12E+13	2.08E+15
5.14E+13	2.01E+15
5.16E+13	1.94E+15
5.18E+13	1.88E+15
5.20E+13	1.86E+15
5.22E+13	1.85E+15
5.24E+13	1.85E+15
5.26E+13	1.87E+15
5.27E+13	1.90E+15
5.29E+13	1.92E+15
5.31E+13	1.94E+15
5.33E+13	1.96E+15
5.35E+13	1.96E+15
